name,vendor,colors,price,url,category
Farlands Shirt Jacket,REI Co-op,,104.29,https://www.rei.com/product/174749/rei-co-op-farlands-shirt-jacket-mens,mens-casual-jackets
Greenland Winter Insulated Jacket,Fjallraven,"['Black', 'Acorn']",310,https://www.rei.com/product/138521/fjallraven-greenland-winter-insulated-jacket-mens,mens-casual-jackets
SkyLab Insulated Overshirt,Mountain Hardwear,,86.83,https://www.rei.com/product/155842/mountain-hardwear-skylab-insulated-overshirt-mens,mens-casual-jackets
McMurdo Down Parka,The North Face,,244.29,https://www.rei.com/product/177594/the-north-face-mcmurdo-down-parka-mens,mens-casual-jackets
Hybrid Down Crew Pullover,HOLDEN,['Black'],149.83,https://www.rei.com/product/159807/holden-hybrid-down-crew-pullover-mens,mens-casual-jackets
Woolyester Fleece Jacket,Patagonia,,110.99,https://www.rei.com/product/133978/patagonia-woolyester-fleece-jacket-mens,mens-casual-jackets
Kollusion Fleece Lined Jacket,KUHL,"['Carbon', 'Quicksand']",199,https://www.rei.com/product/138007/kuhl-kollusion-fleece-lined-jacket-mens,mens-casual-jackets
Axeman Jacket,Roark,,149,https://www.rei.com/product/159086/roark-axeman-jacket-mens,mens-casual-jackets
Jackson Glacier Insulated Parka,Patagonia,['Black'],449,https://www.rei.com/product/175230/patagonia-jackson-glacier-insulated-parka-mens,mens-casual-jackets
Camosun Insulated Parka,Arc'teryx,"['Black', 'Hieroglyph']",649,https://www.rei.com/product/175334/arcteryx-camosun-insulated-parka-mens,mens-casual-jackets
Recycled Wool Insulated Bomber Jacket,Patagonia,,249,https://www.rei.com/product/133979/patagonia-recycled-wool-insulated-bomber-jacket-mens,mens-casual-jackets
650 Down Jacket 2.0,REI Co-op,"['Black', 'Castlerock', 'Tapenade']",99.95,https://www.rei.com/product/154167/rei-co-op-650-down-jacket-20-mens,mens-casual-jackets
Greenland No. 1 Down Jacket,Fjallraven,,500,https://www.rei.com/product/155867/fjallraven-greenland-no-1-down-jacket-mens,mens-casual-jackets
Abisko Midsummer Jacket,Fjallraven,,139.93,https://www.rei.com/product/167403/fjallraven-abisko-midsummer-jacket-mens,mens-casual-jackets
Therme Insulated Parka,Arc'teryx,"['Black', 'Dracaena', 'Megacosm']",699,https://www.rei.com/product/175336/arcteryx-therme-insulated-parka-mens,mens-casual-jackets
Alpine Sherpa Fleece Jacket,Vuori,['Black'],138,https://www.rei.com/product/175410/vuori-alpine-sherpa-fleece-jacket-mens,mens-casual-jackets
Baggies Jacket,Patagonia,['Pumice'],119,https://www.rei.com/product/143314/patagonia-baggies-jacket-mens,mens-casual-jackets
Blacktail Down Jacket,Outdoor Research,['Black'],299,https://www.rei.com/product/179844/outdoor-research-blacktail-down-jacket-mens,mens-casual-jackets
Skogso Padded Insulated Jacket,Fjallraven,['Black'],350,https://www.rei.com/product/176562/fjallraven-skogso-padded-insulated-jacket-mens,mens-casual-jackets
Seton Insulated Jacket,Arc'teryx,"['Black', 'Ultima']",113.83,https://www.rei.com/product/170449/arcteryx-seton-insulated-jacket-mens,mens-casual-jackets
Kollusion Jacket,KUHL,['Carbon'],117.93,https://www.rei.com/product/872709/kuhl-kollusion-jacket-mens,mens-casual-jackets
City Breeze Rain Parka,The North Face,,180,https://www.rei.com/product/177410/the-north-face-city-breeze-rain-parka-mens,mens-casual-jackets
Echo Lake Hoodie,Mountain Hardwear,,41.83,https://www.rei.com/product/166558/mountain-hardwear-echo-lake-hoodie-mens,mens-casual-jackets
Out In It GORE Jacket,REI Co-op,['Black'],73.83,https://www.rei.com/product/164104/rei-co-op-out-in-it-gore-jacket-mens,mens-casual-jackets
Fall In Insulated Parka,Houdini,,349.83,https://www.rei.com/product/165962/houdini-fall-in-insulated-parka-mens,mens-casual-jackets
Hearth Full-Zip Hooded Fleece Jacket,Burton,,129.95,https://www.rei.com/product/161126/burton-hearth-full-zip-hooded-fleece-jacket-mens,mens-casual-jackets
Stretch Terre Planing Hoodie,Patagonia,,119,https://www.rei.com/product/165199/patagonia-stretch-terre-planing-hoodie-mens,mens-casual-jackets
Pile-Lined Trucker Jacket,Patagonia,,179,https://www.rei.com/product/153956/patagonia-pile-lined-trucker-jacket-mens,mens-casual-jackets
Farlands Down Parka,REI Co-op,['Black'],199,https://www.rei.com/product/177584/rei-co-op-farlands-down-parka-mens,mens-casual-jackets
Buck Fleece Jacket,Fjallraven,,160,https://www.rei.com/product/176550/fjallraven-buck-fleece-jacket-mens,mens-casual-jackets
Insulated Fjord Flannel Jacket,Patagonia,,179,https://www.rei.com/product/118198/patagonia-insulated-fjord-flannel-jacket-mens,mens-casual-jackets
Lightweight All-Wear Hemp Coaches Jacket,Patagonia,,129,https://www.rei.com/product/145110/patagonia-lightweight-all-wear-hemp-coaches-jacket-mens,mens-casual-jackets
650 Down Jacket 2.0,REI Co-op,['Black'],99.95,https://www.rei.com/product/153726/rei-co-op-650-down-jacket-20-mens-tall-sizes,mens-casual-jackets
Singi Down Jacket,Fjallraven,['Black'],600,https://www.rei.com/product/176561/fjallraven-singi-down-jacket-mens,mens-casual-jackets
Norseland Lined Jacket,REI Co-op,,63.83,https://www.rei.com/product/158281/rei-co-op-norseland-lined-jacket-mens,mens-casual-jackets
Greenland Re-Wool Insulated Jacket,Fjallraven,,450,https://www.rei.com/product/177740/fjallraven-greenland-re-wool-insulated-jacket-mens,mens-casual-jackets
Sawyer Coat,Arc'teryx,"['Black', 'Dracaena']",475,https://www.rei.com/product/126595/arcteryx-sawyer-coat-mens,mens-casual-jackets
Mount Tecumseh Worker Jacket,Timberland,['Black'],73.83,https://www.rei.com/product/167193/timberland-mount-tecumseh-worker-jacket-mens,mens-casual-jackets
Keb Padded Insulated Hoodie,Fjallraven,['Black'],250,https://www.rei.com/product/138522/fjallraven-keb-padded-insulated-hoodie-mens,mens-casual-jackets
Retro-X Bomber Fleece Jacket,Patagonia,,149,https://www.rei.com/product/177730/patagonia-retro-x-bomber-fleece-jacket-mens,mens-casual-jackets
Solazo Down Jacket,Cotopaxi,,220,https://www.rei.com/product/176873/cotopaxi-solazo-down-jacket-mens,mens-casual-jackets
Vidda Pro Wool Padded Insulated Jacket,Fjallraven,['Black'],400,https://www.rei.com/product/176563/fjallraven-vidda-pro-wool-padded-insulated-jacket-mens,mens-casual-jackets
Klash Jacket,KUHL,"['Gotham', 'Carbon']",149,https://www.rei.com/product/895305/kuhl-klash-jacket-mens,mens-casual-jackets
High Coast Wind Jacket,Fjallraven,['Ochre'],121.93,https://www.rei.com/product/167404/fjallraven-high-coast-wind-jacket-mens,mens-casual-jackets
Kyanite LT Jacket,Arc'teryx,['Arbour'],139,https://www.rei.com/product/165640/arcteryx-kyanite-lt-jacket-mens,mens-casual-jackets
Tri Thermal Threads Overshirt,prAna,,90.29,https://www.rei.com/product/174957/prana-tri-thermal-threads-overshirt-mens,mens-casual-jackets
Burr Jacket,KUHL,"['Gunmetal', 'Mahogany', 'Teak']",129,https://www.rei.com/product/893437/kuhl-burr-jacket-mens,mens-casual-jackets
Better Sweater Fleece Jacket,Patagonia,"['Black', 'Nickel', 'Stonewash']",96.99,https://www.rei.com/product/154144/patagonia-better-sweater-fleece-jacket-mens,mens-casual-jackets
Fuego Hooded Down Jacket,Cotopaxi,,250,https://www.rei.com/product/176874/cotopaxi-fuego-hooded-down-jacket-mens,mens-casual-jackets
